Id,Class
0,9
1,5
2,1
3,1
4,3
5,1
6,5
7,5
8,7
9,5
10,5
11,9
12,7
13,3
14,0
15,1
16,2
17,5
18,5
19,3
20,2
21,5
22,5
23,5
24,1
25,3
26,3
27,3
28,9
29,3
30,9
31,5
32,1
33,3
34,5
35,3
36,5
37,7
38,5
39,9
40,3
41,1
42,3
43,9
44,3
45,9
46,2
47,1
48,1
49,0
50,2
51,5
52,7
53,2
54,3
55,3
56,5
57,3
58,5
59,3
60,5
61,9
62,5
63,5
64,1
65,1
66,3
67,3
68,9
69,5
70,9
71,0
72,2
73,3
74,3
75,3
76,1
77,2
78,5
79,2
80,1
81,0
82,7
83,9
84,5
85,3
86,3
87,3
88,3
89,2
90,7
91,3
92,3
93,5
94,1
95,5
96,3
97,3
98,2
99,2
100,3
101,0
102,7
103,3
104,5
105,5
106,7
107,9
108,9
109,2
110,3
111,7
112,7
113,3
114,9
115,3
116,5
117,4
118,7
119,5
120,3
121,3
122,9
123,9
124,3
125,3
126,5
127,3
128,1
129,9
130,3
131,1
132,9
133,1
134,5
135,2
136,0
137,1
138,3
139,9
140,1
141,3
142,3
143,3
144,1
145,2
146,1
147,3
148,2
149,3
150,3
151,5
152,3
153,3
154,7
155,2
156,3
157,7
158,9
159,3
160,5
161,3
162,3
163,9
164,3
165,9
166,3
167,9
168,3
169,2
170,3
171,7
172,3
173,1
174,3
175,1
176,3
177,3
178,9
179,1
180,3
181,9
182,3
183,2
184,7
185,9
186,9
187,3
188,3
189,7
190,3
191,5
192,3
193,2
194,1
195,2
196,5
197,3
198,5
199,1
200,1
201,3
202,3
203,9
204,2
205,2
206,3
207,9
208,9
209,5
210,3
211,1
212,5
213,3
214,1
215,3
216,3
217,9
218,5
219,3
220,5
221,9
222,2
223,3
224,5
225,7
226,3
227,3
228,7
229,3
230,5
231,5
232,9
233,3
234,9
235,3
236,9
237,1
238,3
239,2
240,9
241,2
242,9
243,1
244,3
245,5
246,3
247,3
248,5
249,1
250,9
251,7
252,3
253,7
254,9
255,3
256,5
257,7
258,2
259,3
260,3
261,2
262,5
263,3
264,3
265,3
266,3
267,2
268,9
269,3
270,1
271,1
272,3
273,3
274,3
275,3
276,5
277,3
278,7
279,3
280,3
281,1
282,0
283,3
284,3
285,0
286,0
287,5
288,9
289,3
290,9
291,9
292,7
293,3
294,5
295,9
296,1
297,9
298,5
299,3
300,1
301,3
302,3
303,5
304,3
305,3
306,1
307,9
308,5
309,9
310,1
311,3
312,5
313,3
314,5
315,3
316,9
317,1
318,3
319,2
320,5
321,3
322,3
323,7
324,5
325,3
326,5
327,7
328,5
329,3
330,3
331,9
332,3
333,7
334,1
335,3
336,5
337,2
338,2
339,3
340,3
341,3
342,3
343,1
344,3
345,1
346,9
347,3
348,9
349,9
350,1
351,7
352,5
353,3
354,3
355,3
356,3
357,1
358,5
359,0
360,1
361,2
362,3
363,2
364,3
365,5
366,3
367,2
368,2
369,9
370,3
371,7
372,9
373,3
374,0
375,9
376,3
377,9
378,3
379,0
380,9
381,2
382,3
383,3
384,5
385,9
386,1
387,2
388,2
389,2
390,2
391,3
392,9
393,9
394,5
395,3
396,3
397,3
398,1
399,3
400,3
401,9
402,7
403,3
404,3
405,3
406,3
407,3
408,2
409,3
410,3
411,0
412,5
413,3
414,9
415,3
416,2
417,3
418,5
419,2
420,7
421,3
422,0
423,9
424,5
425,3
426,3
427,5
428,9
429,5
430,7
431,5
432,2
433,3
434,3
435,3
436,1
437,2
438,1
439,3
440,3
441,9
442,5
443,5
444,3
445,5
446,3
447,1
448,9
449,5
450,3
451,3
452,0
453,1
454,3
455,3
456,9
457,3
458,3
459,2
460,3
461,2
462,3
463,3
464,3
465,1
466,3
467,5
468,2
469,5
470,9
471,3
472,1
473,9
474,0
475,3
476,1
477,9
478,5
479,9
480,9
481,9
482,3
483,9
484,5
485,9
486,5
487,1
488,3
489,3
490,3
491,0
492,5
493,9
494,5
495,9
496,1
497,1
498,9
499,3
500,2
501,3
502,9
503,9
504,1
505,5
506,2
507,1
508,2
509,2
510,5
511,1
512,0
513,3
514,9
515,5
516,5
517,1
518,9
519,1
520,2
521,5
522,3
523,5
524,9
525,3
526,3
527,0
528,5
529,0
530,5
531,5
532,5
533,5
534,5
535,5
536,3
537,9
538,3
539,3
540,3
541,3
542,9
543,1
544,3
545,1
546,3
547,3
548,2
549,9
550,3
551,1
552,7
553,1
554,1
555,1
556,9
557,1
558,1
559,9
560,1
561,3
562,5
563,3
564,2
565,3
566,3
567,7
568,9
569,3
570,1
571,3
572,3
573,9
574,5
575,5
576,9
577,3
578,3
579,3
580,5
581,3
582,7
583,9
584,3
585,3
586,3
587,3
588,5
589,3
590,1
591,1
592,9
593,9
594,3
595,2
596,9
597,7
598,3
599,1
600,1
601,9
602,9
603,5
604,1
605,0
606,9
607,3
608,3
609,9
610,3
611,5
612,0
613,5
614,3
615,7
616,3
617,3
618,3
619,5
620,3
621,2
622,5
623,9
624,3
625,3
626,7
627,5
628,2
629,3
630,9
631,0
632,2
633,3
634,3
635,5
636,3
637,3
638,2
639,2
640,9
641,9
642,9
643,3
644,9
645,1
646,3
647,7
648,3
649,3
650,2
651,3
652,3
653,2
654,7
655,3
656,3
657,3
658,9
659,3
660,1
661,3
662,1
663,3
664,9
665,3
666,3
667,5
668,1
669,5
670,3
671,7
672,3
673,3
674,3
675,5
676,9
677,3
678,1
679,2
680,9
681,2
682,5
683,9
684,3
685,3
686,3
687,9
688,5
689,3
690,7
691,3
692,9
693,9
694,3
695,3
696,0
697,5
698,3
699,3
700,5
701,1
702,3
703,0
704,9
705,9
706,9
707,3
708,5
709,9
710,1
711,3
712,7
713,1
714,3
715,3
716,2
717,9
718,1
719,1
720,3
721,5
722,7
723,3
724,1
725,1
726,3
727,3
728,1
729,7
730,9
731,3
732,3
733,1
734,3
735,9
736,3
737,1
738,3
739,1
740,3
741,9
742,1
743,5
744,5
745,9
746,5
747,9
748,5
749,5
750,3
751,5
752,7
753,3
754,5
755,3
756,9
757,7
758,3
759,1
760,3
761,2
762,3
763,5
764,3
765,3
766,3
767,3
768,9
769,0
770,3
771,5
772,9
773,2
774,3
775,7
776,9
777,1
778,2
779,3
780,9
781,2
782,3
783,9
784,9
785,5
786,5
787,1
788,9
789,7
790,1
791,1
792,1
793,5
794,9
795,7
796,3
797,5
798,3
799,3
800,9
801,2
802,5
803,1
804,3
805,3
806,3
807,7
808,1
809,3
810,9
811,3
812,7
813,5
814,9
815,0
816,9
817,2
818,5
819,9
820,9
821,3
822,3
823,3
824,9
825,1
826,9
827,3
828,5
829,2
830,2
831,9
832,5
833,3
834,9
835,1
836,3
837,3
838,1
839,9
840,3
841,1
842,5
843,1
844,1
845,7
846,9
847,9
848,9
849,3
850,5
851,2
852,7
853,7
854,1
855,9
856,3
857,1
858,3
859,1
860,0
861,1
862,5
863,1
864,1
865,7
866,5
867,1
868,7
869,2
870,2
871,3
872,3
873,1
874,1
875,3
876,9
877,2
878,1
879,5
880,7
881,1
882,5
883,9
884,9
885,3
886,1
887,5
888,3
889,3
890,3
891,5
892,9
893,2
894,3
895,7
896,7
897,1
898,9
899,9
900,5
901,7
902,9
903,3
904,3
905,2
906,3
907,2
908,3
909,5
910,3
911,3
912,9
913,7
914,1
915,1
916,3
917,9
918,1
919,5
920,5
921,3
922,5
923,3
924,5
925,7
926,3
