main.py: Lets train !!!

Current Epoch: 0        
Training Loss: 0.700783        
Validation Loss: 0.3955        
Training Accuracy: 73.79792022705078        
Validation Accuracy: 85.4749984741211
New Leader !!!

Current Epoch: 1        
Training Loss: 0.402882        
Validation Loss: 0.342965        
Training Accuracy: 85.21041870117188        
Validation Accuracy: 87.35832977294922
New Leader !!!

Current Epoch: 2        
Training Loss: 0.357127        
Validation Loss: 0.35101        
Training Accuracy: 86.97083282470703        
Validation Accuracy: 86.94166564941406
Current Epoch: 3        
Training Loss: 0.328857        
Validation Loss: 0.313612        
Training Accuracy: 87.74166870117188        
Validation Accuracy: 88.64167022705078
New Leader !!!

Current Epoch: 4        
Training Loss: 0.308366        
Validation Loss: 0.298794        
Training Accuracy: 88.44583129882812        
Validation Accuracy: 88.80833435058594
New Leader !!!

Current Epoch: 5        
Training Loss: 0.293361        
Validation Loss: 0.312653        
Training Accuracy: 89.10416412353516        
Validation Accuracy: 88.31666564941406
Current Epoch: 6        
Training Loss: 0.282466        
Validation Loss: 0.305065        
Training Accuracy: 89.45625305175781        
Validation Accuracy: 88.64167022705078
Current Epoch: 7        
Training Loss: 0.271428        
Validation Loss: 0.306255        
Training Accuracy: 89.75208282470703        
Validation Accuracy: 88.64167022705078
Current Epoch: 8        
Training Loss: 0.259861        
Validation Loss: 0.31288        
Training Accuracy: 90.25        
Validation Accuracy: 88.36666870117188
Current Epoch: 9        
Training Loss: 0.25017        
Validation Loss: 0.309028        
Training Accuracy: 90.5562515258789        
Validation Accuracy: 89.19166564941406
New Leader !!!

Current Epoch: 10        
Training Loss: 0.243087        
Validation Loss: 0.300183        
Training Accuracy: 90.72291564941406        
Validation Accuracy: 89.1500015258789
Current Epoch: 11        
Training Loss: 0.233679        
Validation Loss: 0.310575        
Training Accuracy: 91.07291412353516        
Validation Accuracy: 89.05833435058594
Current Epoch: 12        
Training Loss: 0.227768        
Validation Loss: 0.340092        
Training Accuracy: 91.40625        
Validation Accuracy: 88.57499694824219
Current Epoch: 13        
Training Loss: 0.218766        
Validation Loss: 0.307714        
Training Accuracy: 91.70833587646484        
Validation Accuracy: 89.0
Current Epoch: 14        
Training Loss: 0.212136        
Validation Loss: 0.320618        
Training Accuracy: 91.9312515258789        
Validation Accuracy: 89.33333587646484
New Leader !!!

Current Epoch: 15        
Training Loss: 0.209002        
Validation Loss: 0.317616        
Training Accuracy: 92.00833129882812        
Validation Accuracy: 88.93333435058594
Current Epoch: 16        
Training Loss: 0.199019        
Validation Loss: 0.315534        
Training Accuracy: 92.43958282470703        
Validation Accuracy: 89.42500305175781
New Leader !!!

Current Epoch: 17        
Training Loss: 0.195909        
Validation Loss: 0.336449        
Training Accuracy: 92.54792022705078        
Validation Accuracy: 89.07499694824219
Current Epoch: 18        
Training Loss: 0.190367        
Validation Loss: 0.342417        
Training Accuracy: 92.81041717529297        
Validation Accuracy: 89.11666870117188
Current Epoch: 19        
Training Loss: 0.184737        
Validation Loss: 0.335013        
Training Accuracy: 92.99791717529297        
Validation Accuracy: 88.94999694824219
Current Epoch: 20        
Training Loss: 0.180595        
Validation Loss: 0.344422        
Training Accuracy: 93.11666870117188        
Validation Accuracy: 88.99166870117188
Current Epoch: 21        
Training Loss: 0.178293        
Validation Loss: 0.353093        
Training Accuracy: 93.07291412353516        
Validation Accuracy: 89.05000305175781
Current Epoch: 22        
Training Loss: 0.174798        
Validation Loss: 0.356192        
Training Accuracy: 93.49791717529297        
Validation Accuracy: 88.44166564941406
Current Epoch: 23        
Training Loss: 0.164674        
Validation Loss: 0.360437        
Training Accuracy: 93.7437515258789        
Validation Accuracy: 88.9749984741211
Current Epoch: 24        
Training Loss: 0.164901        
Validation Loss: 0.378435        
Training Accuracy: 93.73958587646484        
Validation Accuracy: 89.15833282470703
Current Epoch: 25        
Training Loss: 0.159594        
Validation Loss: 0.374147        
Training Accuracy: 93.94791412353516        
Validation Accuracy: 89.10832977294922
Current Epoch: 26        
Training Loss: 0.155389        
Validation Loss: 0.392773        
Training Accuracy: 94.12291717529297        
Validation Accuracy: 88.8499984741211
Current Epoch: 27        
Training Loss: 0.150868        
Validation Loss: 0.390918        
Training Accuracy: 94.34583282470703        
Validation Accuracy: 89.05833435058594
Current Epoch: 28        
Training Loss: 0.146301        
Validation Loss: 0.400998        
Training Accuracy: 94.44999694824219        
Validation Accuracy: 88.86666870117188
Current Epoch: 29        
Training Loss: 0.140913        
Validation Loss: 0.435896        
Training Accuracy: 94.6812515258789        
Validation Accuracy: 88.24166870117188
   Id  Class
0   0      9
1   1      2
2   2      1
3   3      1
4   4      6
